SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
1513A - FLOUR,1513 - FLOUR,STAPLE NEED,1.15,1.11,-0.0348,126.5,136.33,0.0777,1.19,1.17,-0.0168,17492.0,16808.0,-0.0391,20777.0,19698.0,-0.0519,213.0,349.0,0.6385
1513B - OTHER FLOUR,1513 - FLOUR,STAPLE NEED,1.21,1.17,-0.0331,128.0,140.67,0.099,1.17,1.16,-0.0085,12240.0,11745.0,-0.0404,14373.0,13579.0,-0.0552,218.0,365.0,0.6743
1521B - PALM COOKING OIL POUCH 900-1000ML,1521 - PALM COOKING OIL,STAPLE NEED,1.11,1.2,0.0811,114.0,191.33,0.6783,1.16,1.37,0.181,23000.0,24531.0,0.0666,26756.0,33686.0,0.259,196.0,418.0,1.1327
1521C - PALM COOKING OIL POUCH 1800-2000ML,1521 - PALM COOKING OIL,STAPLE NEED,1.67,1.69,0.012,1528.0,1892.67,0.2387,1.73,2.06,0.1908,69854.0,70684.0,0.0119,121154.0,145362.0,0.1998,1762.0,2761.0,0.567
1521F - PALM COOKING OIL BOTTLE 800-1000ML,1521 - PALM COOKING OIL,STAPLE NEED,1.12,1.15,0.0268,215.0,159.0,-0.2605,1.29,1.32,0.0233,23540.0,24107.0,0.0241,30398.0,31766.0,0.045,333.0,362.0,0.0871
1521G - PALM COOKING OIL BOTTLE 2L,1521 - PALM COOKING OIL,STAPLE NEED,1.49,1.44,-0.0336,357.0,386.0,0.0812,1.36,1.59,0.1691,62290.0,60135.0,-0.0346,84876.0,95523.0,0.1254,524.0,729.0,0.3912
1522A - OTHERS COOKING OIL,1522 - OTHER COOKING OIL,STAPLE NEED,1.06,1.15,0.0849,17.0,11.33,-0.3335,1.17,1.31,0.1197,80247.0,86735.0,0.0809,94083.0,113423.0,0.2056,29.0,26.0,-0.1034
1523A - MARGARINE & BUTTER CUP 250-350G,1523 - MARGARINE & BUTTER,STAPLE NEED,1.07,1.06,-0.0093,64.0,62.0,-0.0312,1.08,1.2,0.1111,14217.0,14692.0,0.0334,15422.0,17630.0,0.1432,118.0,155.0,0.3136
1523B - MARGARINE & BUTTER BAG 200G,1523 - MARGARINE & BUTTER,STAPLE NEED,1.37,1.41,0.0292,302.0,363.0,0.202,1.22,1.31,0.0738,12401.0,11875.0,-0.0424,15101.0,15599.0,0.033,496.0,829.0,0.6714
1531A - SEED & BEAN SACHET 40-90G,1531 - SEED & BEAN,STAPLE NEED,1.36,1.69,0.2426,7.0,4.33,-0.3814,1.08,1.0,-0.0741,13550.0,17323.0,0.2785,14592.0,17323.0,0.1872,13.0,13.0,0.0
1531B - SEED & BEAN BAG 100-250G,1531 - SEED & BEAN,STAPLE NEED,1.07,1.17,0.0935,14.5,11.67,-0.1952,1.21,1.25,0.0331,12010.0,13186.0,0.0979,14512.0,16482.0,0.1357,24.0,28.0,0.1667
1531C - SEED & BEAN BAG 400-1000G,1531 - SEED & BEAN,STAPLE NEED,2.0,1.33,-0.335,1.5,1.0,-0.3333,1.5,1.0,-0.3333,51467.0,24667.0,-0.5207,77200.0,24667.0,-0.6805,2.0,3.0,0.5
1532A - SUNDRIED CRACKER,1532 - SUNDRIED CRACKER,STAPLE NEED,1.12,1.0,-0.1071,8.0,6.33,-0.2088,1.14,1.12,-0.0175,9800.0,8700.0,-0.1122,11200.0,9724.0,-0.1318,14.0,17.0,0.2143
1611A - JELLY POWDER 7-35G,1611 - POWDER JELLY,STAPLE NEED,2.01,2.02,0.005,86.5,109.33,0.2639,1.12,1.3,0.1607,12851.0,12916.0,0.0051,14436.0,16745.0,0.1599,154.0,253.0,0.6429
1612A - PROCESSED PUDDING,1612 - PROCESSED PUDDING,STAPLE NEED,1.48,1.46,-0.0135,129.0,135.0,0.0465,1.19,1.23,0.0336,18383.0,18594.0,0.0115,21856.0,22959.0,0.0505,217.0,328.0,0.5115
1621A - ESSENCE 20-90G,1621 - ESSENCE,STAPLE NEED,1.05,1.12,0.0667,21.0,19.0,-0.0952,1.08,1.04,-0.037,10400.0,11088.0,0.0662,11200.0,11491.0,0.026,39.0,55.0,0.4103
1622A - COLOURING & FLAVOURING 90G,1622 - COLOURING & FLAVOURING,STAPLE NEED,1.21,1.08,-0.1074,14.5,12.67,-0.1262,1.21,1.09,-0.0992,25662.0,26045.0,0.0149,31008.0,28277.0,-0.0881,24.0,35.0,0.4583
1623A - BAKING POWDER,1623 - BAKING POWDER,STAPLE NEED,1.25,1.19,-0.048,40.5,35.33,-0.1277,1.11,1.07,-0.036,8723.0,8508.0,-0.0246,9679.0,9109.0,-0.0589,73.0,99.0,0.3562
1624A - INSTANT CAKE,1624 - INSTANT PROCESS FOOD,STAPLE NEED,1.08,1.1,0.0185,19.0,20.33,0.07,1.15,1.17,0.0174,18603.0,19049.0,0.024,21421.0,22346.0,0.0432,33.0,52.0,0.5758
1625A - COCONUT MILK LIQUID 65-100ML,1625 - COCONUT MILK,STAPLE NEED,2.33,2.04,-0.1245,285.5,236.67,-0.171,1.3,1.43,0.1,13270.0,11552.0,-0.1295,17260.0,16569.0,-0.04,439.0,495.0,0.1276
1625B - COCONUT MILK LIQUID 180-200ML,1625 - COCONUT MILK,STAPLE NEED,1.33,1.28,-0.0376,30.0,33.33,0.111,1.11,1.2,0.0811,26347.0,25318.0,-0.0391,29274.0,30504.0,0.042,54.0,83.0,0.537
