BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
POCKY,2228B - STICK BISCUIT 18-35G,2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.4,1.12,-0.2,339.0,256.0,-0.2448,1.1,1.08,-0.0182,15398.0,13082.0,-0.1504,16948.0,14170.0,-0.1639,616.0,709.0,0.151
PRETZ,2228B - STICK BISCUIT 18-35G,2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.0,,,0.5,,,1.0,,,7500.0,,,7500.0,,,1.0,,
ASTOR,2228C - STICK BISCUIT 36-50G,2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.22,1.19,-0.0246,160.5,173.67,0.0821,1.16,1.16,0.0,9693.0,9420.0,-0.0282,11273.0,10906.0,-0.0326,276.0,450.0,0.6304
BARBIE,2228C - STICK BISCUIT 36-50G,2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.35,1.28,-0.0519,40.0,22.67,-0.4332,1.01,1.11,0.099,9045.0,8656.0,-0.043,9159.0,9649.0,0.0535,79.0,61.0,-0.2278
BISKITOP,2228C - STICK BISCUIT 36-50G,2228 - STICK BISCUIT,BISC & CONFECTIONARY,7.7,7.29,-0.0532,18.5,19.67,0.0632,1.09,1.18,0.0826,15662.0,14788.0,-0.0558,17044.0,17450.0,0.0238,34.0,50.0,0.4706
LOTTE,2228C - STICK BISCUIT 36-50G,2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.0,1.6,0.6,1.0,3.33,2.33,1.0,1.0,0.0,8500.0,12800.0,0.5059,8500.0,12800.0,0.5059,2.0,10.0,4.0
MEIJI,2228C - STICK BISCUIT 36-50G,2228 - STICK BISCUIT,BISC & CONFECTIONARY,3.0,2.5,-0.1667,1.0,0.67,-0.33,1.0,1.0,0.0,28500.0,23750.0,-0.1667,28500.0,23750.0,-0.1667,2.0,2.0,0.0
NYAM-NYAM,2228C - STICK BISCUIT 36-50G,2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.21,1.28,0.0579,60.5,58.33,-0.0359,1.11,1.11,0.0,9272.0,10088.0,0.088,10293.0,11245.0,0.0925,109.0,157.0,0.4404
POCKY,2228C - STICK BISCUIT 36-50G,2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.67,1.27,-0.2395,1358.5,795.33,-0.4146,1.18,1.19,0.0085,16386.0,12781.0,-0.22,19324.0,15247.0,-0.211,2304.0,2000.0,-0.1319
ROMA,2228C - STICK BISCUIT 36-50G,2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.26,1.67,0.3254,54.0,91.67,0.6976,1.06,1.07,0.0094,9978.0,13196.0,0.3225,10565.0,14175.0,0.3417,102.0,256.0,1.5098
